Time, Count
2349, 612
2352, 613
2354, 614
2355, 614
2357, 614
2360, 615
2362, 616
2364, 616
2366, 617
2369, 617
2371, 618
2373, 618
2376, 619
2377, 620
2379, 620
2382, 621
2384, 621
2385, 622
2387, 622
2390, 623
2392, 623
2396, 624
2398, 625
2399, 625
2401, 626
2403, 626
2406, 627
2407, 627
2409, 628
2411, 628
2414, 629
2416, 630
2417, 630
2419, 630
2421, 631
2424, 632
2425, 632
2427, 632
2429, 633
2432, 634
2434, 634
2435, 635
2437, 635
2440, 636
2443, 637
2444, 637
2447, 638
2449, 638
2450, 639
2452, 639
2455, 640
2457, 640
2459, 641
2461, 642
2464, 642
2466, 643
2467, 643
2469, 644
2472, 644
2474, 645
2475, 645
2477, 646
2480, 646
2481, 647
2483, 647
2485, 648
2488, 648
2490, 649
2491, 649
2493, 650
2495, 650
2498, 651
2499, 651
2501, 652
2503, 652
2505, 653
2507, 653
2509, 654
2512, 654
2514, 655
2515, 655
2517, 656
2520, 656
2522, 657
2523, 657
2525, 658
2528, 659
2530, 659
2531, 660
2533, 660
2535, 661
2538, 661
2540, 662
2541, 662
2543, 663
2546, 663
2547, 664
2549, 664
2551, 665
2553, 665
2556, 666
2557, 666
2559, 667
2561, 668
2564, 668
2566, 669
2569, 669
2570, 670
2572, 670
2574, 671
2582, 673
2583, 673
2587, 674
2588, 674
2590, 675
2593, 676
2595, 676
2596, 676
2599, 677
2601, 678
2602, 678
2604, 678
2606, 679
2609, 680
2616, 682
2618, 682
2621, 683
2623, 684
2625, 684
2627, 685
2630, 685
2631, 686
2633, 686
2635, 687
2638, 687
2643, 689
2646, 689
2648, 690
2649, 690
2651, 691
2653, 692
2656, 692
2657, 692
2659, 693
2661, 694
2664, 694
2665, 695
2667, 695
2670, 696
2672, 696
2673, 697
2675, 697
2678, 698
2680, 698
2681, 699
2683, 699
2686, 700
2688, 700
2691, 701
2692, 702
2694, 702
2696, 702
2699, 703
2701, 704
2702, 704
2704, 705
2706, 705
2709, 706
2710, 706
2712, 707
2715, 707
2717, 708
2718, 708
2720, 709
2723, 710
2724, 710
2726, 710
2728, 711
2731, 712
2732, 712
2734, 713
2736, 713
2744, 715
2746, 716
2749, 716
2751, 717
2752, 717
2754, 718
2757, 718
2760, 719
2762, 720
2763, 720
2765, 721
2768, 721
2770, 722
2771, 722
2773, 723
2775, 723
2778, 724
2779, 724
2781, 725
2783, 725
2786, 726
2788, 727
2789, 727
2792, 728
2794, 728
2795, 728
2797, 729
2800, 730
2801, 730
2803, 731
2806, 731
2810, 732
2811, 733
2813, 733
2816, 734
2817, 734
2819, 735
2821, 736
2823, 736
2826, 737
2828, 737
2829, 738
2834, 739
2836, 739
2837, 740
2839, 740
2841, 741
2844, 741
2846, 742
2847, 742
2849, 743
2852, 743
